Rank,Name,Tourn P,Rank P,Ach P,GS,TF,AF,M,O,BT,T,W@1,W%,Elo
1,Novak Djokovic,595,241,266,24,7,0,40,-,71,98,404,83.80%,2629
2,Roger Federer,566,200,158,20,6,0,28,-,54,103,310,81.90%,2550
3,Rafael Nadal,526,186,173,22,0,0,36,1,59,92,209,83.00%,2552
4,Jimmy Connors,402,151,63,8,1,2,20,-,31,109,268,81.70%,2521
5,Ivan Lendl,395,141,68,8,5,2,18,-,33,94,270,81.50%,2518
6,Pete Sampras,316,140,66,14,5,2,11,-,32,64,286,77.40%,2407
7,John McEnroe,321,128,63,7,3,5,17,-,32,77,170,81.60%,2583
8,Bjorn Borg,254,132,94,11,2,1,11,-,25,66,109,82.50%,2622
9,Andre Agassi,292,82,43,8,1,0,17,1,27,60,101,76.00%,2376
10,Rod Laver,202,101,86,5,0,2,18,-,25,72,219,79.70%,2509
11,Boris Becker,267,61,40,6,3,2,12,-,23,49,12,76.90%,2419
12,Stefan Edberg,243,62,23,6,1,0,6,1,14,42,72,74.80%,2370
13,Andy Murray,228,55,30,3,1,0,14,2,20,46,41,74.60%,2500
14,Mats Wilander,179,38,26,7,0,0,8,-,15,33,20,71.80%,2371
15,Guillermo Vilas,191,32,19,4,1,0,3,-,8,62,0,76.40%,2431
16,Ilie Nastase,163,46,19,2,4,0,6,-,12,65,88,72.80%,2363
17,Ken Rosewall,159,40,21,4,0,2,7,-,13,40,26,73.70%,2388
18,Arthur Ashe,174,23,14,3,0,1,4,-,8,45,0,75.20%,2354
19,John Newcombe,160,35,15,5,0,1,6,-,12,41,8,71.60%,2327
20,Lleyton Hewitt,114,52,14,2,2,0,2,-,6,30,80,70.20%,2295
21,Andy Roddick,125,33,11,1,0,0,5,-,6,32,13,74.10%,2274
22,Jim Courier,116,37,15,4,0,0,5,-,9,23,58,68.10%,2330
23,Michael Chang,125,21,7,1,0,0,7,-,8,34,0,68.00%,2267
24,Stan Smith,125,18,5,2,1,1,3,-,7,49,0,71.70%,2381
25,Yevgeny Kafelnikov,105,22,10,2,0,0,0,1,3,26,6,66.60%,2216
26,Daniil Medvedev,97,25,12,1,1,0,6,-,8,20,16,71.20%,2316
27,Gustavo Kuerten,85,29,15,3,1,0,5,-,9,20,43,64.70%,2281
28,Goran Ivanisevic,107,12,6,1,0,1,2,-,4,22,0,64.30%,2246
29,David Ferrer,110,10,4,0,0,0,1,-,1,27,0,66.10%,2348
30,Thomas Muster,102,15,6,1,0,0,8,-,9,44,6,69.60%,2287
31,Tom Okker,106,11,6,0,0,0,4,-,4,34,0,70.10%,2317
32,Vitas Gerulaitis,100,13,7,1,0,1,4,-,6,26,0,69.60%,2335
33,Alexander Zverev,94,14,11,0,2,0,5,1,8,21,0,68.80%,2303
34,Juan Martin Del Potro,90,11,10,1,0,0,1,-,2,22,0,71.60%,2331
35,Manuel Orantes,93,10,4,1,1,0,1,-,3,35,0,71.70%,2290
36,Stan Wawrinka,88,10,6,3,0,0,1,-,4,16,0,62.20%,2291
37,Michael Stich,78,15,11,1,1,1,2,-,5,18,0,68.60%,2272
38,Marat Safin,78,20,4,2,0,0,5,-,7,15,9,61.20%,2218
39,Juan Carlos Ferrero,76,16,7,1,0,0,4,-,5,16,8,64.60%,2225
40,Tony Roche,75,16,4,0,0,0,3,-,3,21,0,66.50%,2355
41,Carlos Moya,79,12,2,1,0,0,3,-,4,20,2,64.30%,2190
42,Carlos Alcaraz Garfia,56,27,8,2,0,0,4,-,6,12,36,77.60%,2344
43,Patrick Rafter,65,21,4,2,0,0,2,-,4,11,1,65.20%,2255
44,Yannick Noah,78,7,2,1,0,0,4,-,5,23,0,69.40%,2268
45,Tomas Berdych,79,2,3,0,0,0,1,-,1,13,0,65.20%,2263
46,Roscoe Tanner,75,3,3,1,0,0,3,-,4,16,0,66.70%,2261
47,Dominic Thiem,68,10,3,1,0,0,1,-,2,17,0,62.80%,2250
48,Brian Gottfried,73,5,2,0,0,0,3,-,3,25,0,67.90%,2324
49,Stefanos Tsitsipas,66,8,5,0,1,0,2,-,3,10,0,67.10%,2258
50,Marcelo Rios,58,16,4,0,0,1,5,-,6,18,6,67.10%,2241
51,Nikolay Davydenko,63,10,4,0,1,0,3,-,4,21,0,59.40%,2291
52,Richard Krajicek,61,3,10,1,0,0,2,-,3,17,0,65.20%,2214
53,Harold Solomon,70,1,2,0,0,0,3,-,3,22,0,63.70%,2256
54,Marin Cilic,67,3,2,1,0,0,1,-,2,20,0,63.90%,2232
55,Sergi Bruguera,60,8,3,2,0,0,2,-,4,14,0,62.30%,2232
56,Jo Wilfried Tsonga,67,1,3,0,0,0,2,-,2,18,0,66.20%,2244
57,Kei Nishikori,62,5,3,0,0,0,0,-,0,12,0,67.10%,2296
58,Eddie Dibbs,65,1,2,0,0,0,1,-,1,22,0,69.60%,2282
59,Jan Kodes,62,1,3,3,0,0,0,-,3,9,0,63.60%,2197
60,David Nalbandian,58,4,4,0,1,0,2,-,3,11,0,66.60%,2196
